subpartida,grupo,subgrupo,producto,documentación,descripción_doc,fuente_doc,tipo_cuidado,descr_cuidado,fuente_cuid,etiquetado,fuente_etiq
0101,Animales vivos,Mamíferos,Caballo,Carta Porte Internacional por Carretera,"
  Documento que prueba que el transportista autorizado ha tomado las mercancías bajo su responsabilidad
  y se ha obligado a transportarlas.",COPCI,Transporte,Los animales deben ser transportados en condiciones que garanticen su bienestar.,Ministerio de Transporte,Los animales deben llevar una etiqueta con el nombre y dirección del propietario.,Ministerio de Agricultura
0101,Animales vivos,Mamíferos,Caballo,Manifiesto de Carga Internacional por Carretera,Documento que ampara las mercancías que se transportan.,COPCI,Transporte,Los animales deben ser transportados en condiciones que garanticen su bienestar.,Ministerio de Transporte,Los animales deben llevar una etiqueta con el nombre y dirección del propietario.,Ministerio de Agricultura
0101,Animales vivos,Mamíferos,Caballo,Permiso Originario,Documento que acredita que un transportista ha sido autorizado para el transporte.,COPCI,Transporte,Los animales deben ser transportados en condiciones que garanticen su bienestar.,Ministerio de Transporte,Los animales deben llevar una etiqueta con el nombre y dirección del propietario.,Ministerio de Agricultura
0101,Animales vivos,Mamíferos,Caballo,Certificado de salud,El certificado de salud debe indicar que el animal está libre de enfermedades contagiosas.,Ministerio de Agricultura,Transporte,Los animales deben ser transportados en condiciones que garanticen su bienestar.,Ministerio de Transporte,Los animales deben llevar una etiqueta con el nombre y dirección del propietario.,Ministerio de Agricultura
0201,Carnes,Carnes frescas,Carne de vacuno,Carta Porte Internacional por Carretera,"
  Documento que prueba que el transportista autorizado ha tomado las mercancías bajo su responsabilidad
  y se ha obligado a transportarlas.",COPCI,Refrigeración,La carne debe mantenerse a una temperatura de 4°C o menos.,Ministerio de Salud,La carne debe estar etiquetada con el país de origen y la fecha de caducidad.,Ministerio de Salud
0201,Carnes,Carnes frescas,Carne de vacuno,Manifiesto de Carga Internacional por Carretera,Documento que ampara las mercancías que se transportan.,COPCI,Refrigeración,La carne debe mantenerse a una temperatura de 4°C o menos.,Ministerio de Salud,La carne debe estar etiquetada con el país de origen y la fecha de caducidad.,Ministerio de Salud
0201,Carnes,Carnes frescas,Carne de vacuno,Permiso Originario,Documento que acredita que un transportista ha sido autorizado para el transporte.,COPCI,Refrigeración,La carne debe mantenerse a una temperatura de 4°C o menos.,Ministerio de Salud,La carne debe estar etiquetada con el país de origen y la fecha de caducidad.,Ministerio de Salud
0201,Carnes,Carnes frescas,Carne de vacuno,Guía de transporte,La guía de transporte debe acompañar a la carne en todo momento.,Ministerio de Salud,Refrigeración,La carne debe mantenerse a una temperatura de 4°C o menos.,Ministerio de Salud,La carne debe estar etiquetada con el país de origen y la fecha de caducidad.,Ministerio de Salud
0301,Pescados,Pescados vivos,Salmón,Certificado de origen,El certificado de origen debe indicar el lugar de captura.,Ministerio de Pesca,Conservación,El salmón debe mantenerse en agua limpia y oxigenada.,Ministerio de Pesca,El salmón debe llevar una etiqueta con la especie y el peso.,Ministerio de Pesca
0401,Productos lácteos,Leche,Leche cruda,Certificado sanitario,El certificado sanitario debe indicar que la leche ha sido revisada y está libre de contaminantes.,Ministerio de Salud,Almacenamiento,La leche debe mantenerse a una temperatura de 4°C o menos.,Ministerio de Salud,La leche debe estar etiquetada con la fecha de producción y caducidad.,Ministerio de Salud
0501,Productos vegetales,Frutas,Manzana,Certificado fitosanitario,El certificado fitosanitario debe indicar que las manzanas están libres de plagas.,Ministerio de Agricultura,Almacenamiento,Las manzanas deben mantenerse en un lugar fresco y seco.,Ministerio de Agricultura,Las manzanas deben estar etiquetadas con la variedad y el país de origen.,Ministerio de Agricultura
